C-CodigoCliente,C-TipoCliente,C-Sucursal,A-Equipo,A-Sector,PC-CostoAccesorios,PC-CostoAlquiler,PC-CostoCCC,PC-CostoReactivos,PC-CostoServicioTecnico,PC-CostoTotal,PC-TotalDeterminaciones,PC-ImporteAccesorios,PC-ImporteAlquiler,PC-ImporteCCC,PC-ImporteReactivos,PC-ImporteServicioTecnico,PC-UtilidadAccesorios,PC-UtilidadAlquiler,PC-UtilidadCCC,PC-UtilidadReactivos,PC-UtilidadServicioTecnico,PC-UtilidadPropuesta,PC-Ganado
445,Privado,2,336,Endocrinología,360354456,113124.39,82067.04,158625918,22624.89,412477.69,10700,36035.45,113124.39,82067.04,158625.92,22624.89,1,1,1,1,1,1383574117,1
2927,Publico,2,305,Software,0,42000,0,0,14700,56700,1,0,42000,0,0,14700,1,1,1.3,1.3,1,1.7,0
1787,Privado,2,270,Inmunología,51001.5,104744.79,30971.16,2008012545,36660.68,447356.63,3750,51001.5,104744.79,34068.28,220881.38,36660.68,1,1,1.1,1.1,1,1009280393,1
437,Publico,2,269,Inmunología,395504956,305256.24,61746.3,2283355547,106839.66,828752.8,3875,39550.5,305256.24,80270.19,296836.21,106839.66,1,1,1.3,1.3,1,1199111738,0
445,Privado,2,336,Endocrinología,395504956,113124.39,64392.57,2453737704,39593.55,533011.42,7800,39550.5,113124.39,70831.83,269911.15,39593.55,1,1,1.1,1.1,1,1257584909,1
372,Privado,2,201,Inmunología,30250,356835.57,0,494050.3,124892.46,1055433.36,4420,30250,356835.57,0,543455.33,124892.46,1,1,1.1,1.1,1,0.999999989,0
384,Publico,2,269,Inmunología,53469.9,508760.4,150282,421181.64,178066.1,1540345.5,11800,53469.9,508760.4,210394.8,589654.3,178066.1,1,1,1.4,1.4,1,1.1,0
372,Privado,2,242,Hemostasia,1151149956,658874.68,147069.45,463363.45,230606.12,1737115.28,0,115115,658874.68,176483.34,556036.14,230606.12,1,1,1.2,1.2,1,0.489794764,1
1787,Privado,2,270,Inmunología,51001.5,104744.79,30971.16,2008012545,36660.68,447356.63,3750,51001.5,104744.79,34068.28,220881.38,36660.68,1,1,1.1,1.1,1,1069837142,1
1787,Privado,2,270,Inmunología,51001.5,104744.79,30971.16,2008012545,36660.68,447356.63,3750,51001.5,104744.79,34068.28,220881.38,36660.68,1,1,1.1,1.1,1,1134027338,1
372,Privado,2,242,Hemostasia,1151149956,413139.8,185386.52,502180.25,144598.92,1497933.84,0,115115,413139.8,222463.82,602616.3,144598.92,1,1,1.2,1.2,1,0.742403642,1
384,Publico,2,269,Inmunología,53469.9,508760.4,133947,421181.64,178066.1,1517476.5,11800,53469.9,508760.4,187525.8,589654.3,178066.1,1,1,1.4,1.4,1,1.1,0
1787,Privado,2,270,Inmunología,74233.5,439928.13,120787524,5060462847,87985.62,1291664.43,6500,74233.5,439928.13,132866.27,556650.91,87985.62,1,1,1.1,1.1,1,0.994462742,1
452,Privado,2,295,Coagulación,6606.6,20362.38,115616952,49465284,7126.83,223940.37,5400,6606.6,20362.38,132959.49,56885.07,7126.83,1,1,1.15,1.15,1,1.55,0
452,Privado,2,237,Hemostasia,56228216,100152.78,139810194,62478.06,35053.47,424065.96,5400,56228.22,100152.78,160781.72,71849.77,35053.47,1,1,1.15,1.15,1,1209717469,0
437,Publico,2,218,Química Clínica,2032909999,442441.98,3235757316,5896016005,154854.72,2033377.1,84528,203291,442441.98,436827.24,795962.16,154854.72,1,1,1.35,1.35,1,0.99999999,0
478,Privado,2,269,Inmunología,60500,213679.38,66467115,2584148237,74787.78,722581.39,4486,60500,213679.38,76437.19,297177.04,74787.78,1,1,1.15,1.15,1,1187391168,0
485,Privado,2,222,Inmunología,65219,349698.87,48888.84,1342152122,122394.6,2137009.58,7968,65219,349698.87,56222.17,1543474.94,122394.6,1,1,1.15,1.15,1,1190000003,1
559,Privado,2,305,Software,0,21000,0,0,7350,28350,0,0,21000,0,0,7350,1,1,1.15,1.15,1,1587301587,0
437,Publico,2,269,Inmunología,75746,427358.76,86444.82,3133807919,149575.56,903977.74,4088,75746,213679.38,116700.51,423064.07,74787.78,1,0.5,1.35,1.35,0.5,1100000008,0
445,Privado,2,269,Inmunología,10527,142452.92,100029006,4318021851,49858.52,814444.32,7700,10527,142452.92,115033.36,496572.52,49858.52,1,1,1.15,1.15,1,1309213452,1
372,Privado,2,242,Hemostasia,6199999997,867593.55,5831283546,9879743412,303657.78,2984219.42,16282,6200,867593.55,670597.6,1136170.49,303657.78,1,1,1.15,1.15,1,0.868844305,1
369,Privado,2,280,Quimica Clinica,11011,289095.6,4802098686,0,101183.46,1049573.38,3200,11011,289095.6,648283.32,0,101183.46,1,1,1.35,1.35,1,1349999997,0
437,Publico,2,269,Inmunología,75746,213679.38,74278512,2927986919,74787.78,786351.94,3591,75746,213679.38,85420.29,336718.49,74787.78,1,1,1.15,1.15,1,1300000011,1
372,Privado,2,242,Hemostasia,0,867593.55,5411806312,9222025164,303657.78,2854141.95,16282,0,867593.55,622357.72,1060532.9,303657.78,1,1,1.15,1.15,1,0.990201637,1
445,Privado,2,269,Inmunología,10527,142452.92,92884077,4009592367,49858.52,770758.26,7700,10527,142452.92,106816.69,461103.13,49858.52,1,1,1.15,1.15,1,147809399,1
551,Privado,2,237,Hemostasia,46403.5,185998.02,374109.01,179072.74,65099.28,1044296.16,16800,46403.5,185998.02,505047.16,241748.2,65099.28,1,1,1.35,1.35,1,1058256253,0
384,Publico,2,303,Endocrinología,10696.4,183153.78,1156988448,360559188,64103.82,900902.34,6800,10696.4,183153.78,156193.43,486754.91,64103.82,1,1,1.35,1.35,1,148743095,1
372,Privado,2,242,Hemostasia,0,929564.55,6047699064,1145042166,325347.6,3267196.05,16282,0,929564.55,695485.4,1316798.5,325347.6,1,1,1.15,1.15,1,0.874301584,1
445,Privado,2,269,Inmunología,0,76314.06,524079072,1731942575,26709.92,362466.48,1700,0,76314.06,60269.1,199173.4,26709.92,1,1,1.15,1.15,1,1369814272,1
445,Privado,2,269,Inmunología,0,76314.06,524079072,1783856536,26709.92,368436.58,1750,0,76314.06,60269.1,205143.5,26709.92,1,1,1.15,1.15,1,1430191975,1
437,Publico,2,269,Inmunología,80404.5,228942.18,764007552,3011643536,80129.76,823676.31,3591,80404.5,228942.18,87860.87,346339,80129.76,1,1,1.15,1.15,1,1310093564,1
437,Publico,2,269,Inmunología,80404.5,228942.18,764007552,3011643536,80129.76,823676.31,3591,80404.5,228942.18,87860.87,346339,80129.76,1,1,1.15,1.15,1,1358855046,1
437,Publico,2,269,Inmunología,80404.5,228942.18,764007552,3011643536,80129.76,823676.31,3591,80404.5,228942.18,87860.87,346339,80129.76,1,1,1.15,1.15,1,1422245035,1
498,Privado,2,303,Endocrinología,11797.5,202007.82,92619.45,155345.85,70702.74,619261.22,2772,11797.5,202007.82,125036.26,209716.9,70702.74,1,1,1.35,1.35,1,1.5,1
445,Privado,2,269,Inmunología,0,84454.23,604146708,2249321635,29558.98,442162.06,1250,0,84454.23,69476.87,258671.98,29558.98,1,1,1.15,1.15,1,1346740178,1
1745,Publico,2,285,Endocrinología,403958.5,5330154.84,3308583997,6438137.63,1865554.2,17955626.12,19400,403958.5,1066030.97,4962876,9657206.45,1865554.2,1,0.2,1.5,1.5,1,1659999998,0
3951,Publico,2,269,Inmunología,59253.7,253362.69,1975679046,5036803354,88676.94,1087381.52,6100,59253.7,177353.88,227203.08,579232.39,44338.47,1,0.7,1.15,1.15,0.5,1377763667,0
445,Privado,2,269,Inmunología,0,84454.23,604146708,2189476366,29558.98,435279.87,1250,0,84454.23,69476.87,251789.79,29558.98,1,1,1.15,1.15,1,1375785223,1
1777,Publico,2,245,Hematología,63270.9,327881.1,3238258265,0,114758.4,943075.27,15300,63270.9,327881.1,437164.87,0,114758.4,1,1,1.35,1.35,1,1246867139,0
445,Privado,2,269,Inmunología,0,84454.23,604146708,2249321635,29558.98,442162.06,1250,0,84454.23,69476.87,258671.98,29558.98,1,1,1.15,1.15,1,1428756627,1
372,Privado,2,242,Hemostasia,0,342906.04,3003918654,143873.84,120017.1,973828.71,1550,0,342906.04,345450.65,165454.92,120017.1,1,1,1.15,1.15,1,0.822721768,1
