"C-CodigoCliente";"C-TipoCliente";"C-Sucursal";"A-Equipo";"A-Sector";"PC-CostoAccesorios";"PC-CostoAlquiler";"PC-CostoCCC";"PC-CostoReactivos";"PC-CostoServicioTecnico";"PC-CostoTotal";"PC-TotalDeterminaciones";"PC-ImporteAccesorios";"PC-ImporteAlquiler";"PC-ImporteCCC";"PC-ImporteReactivos";"PC-ImporteServicioTecnico";"PC-UtilidadAccesorios";"PC-UtilidadAlquiler";"PC-UtilidadCCC";"PC-UtilidadReactivos";"PC-UtilidadServicioTecnico";"PC-UtilidadPropuesta";"PC-Ganado"
"445";"Privado";"2";"336";"Endocrinología";"36035,4456";"113124,38999999998";"82067,04000000001";"158625,918";"22624,89";"412477,69";"10700";"36035,45";"113124,39";"82067,04";"158625,92";"22624,89";"1";"1";"1";"1";"1";"1,3835741166180557";"1"
"2927";"Publico";"2";"305";"Software";"0";"42000";"0";"0";"14700";"56700";"1";"0";"42000";"0";"0";"14700";"1";"1";"1,3";"1,3";"1";"1,7";"0"
"1787";"Privado";"2";"270";"Inmunología";"51001,5";"104744,79";"30971,160000000003";"200801,2545000001";"36660,68";"447356,63";"3750";"51001,5";"104744,79";"34068,28";"220881,38";"36660,68";"1";"1";"1,1";"1,1";"1";"1,0092803930278178";"1"
"437";"Publico";"2";"269";"Inmunología";"39550,4956";"305256,24";"61746,3";"228335,5547";"106839,66";"828752,8";"3875";"39550,5";"305256,24";"80270,19";"296836,21";"106839,66";"1";"1";"1,3";"1,3";"1";"1,199111737706899";"0"
"445";"Privado";"2";"336";"Endocrinología";"39550,4956";"113124,38999999998";"64392,57";"245373,7704";"39593,55";"533011,42";"7800";"39550,5";"113124,39";"70831,83";"269911,15";"39593,55";"1";"1";"1,1";"1,1";"1";"1,2575849088355364";"1"
"372";"Privado";"2";"201";"Inmunología";"30250";"356835,57";"0";"494050,3";"124892,46";"1055433,36";"4420";"30250";"356835,57";"0";"543455,33";"124892,46";"1";"1";"1,1";"1,1";"1";"0,9999999888395822";"0"
"384";"Publico";"2";"269";"Inmunología";"53469,9";"508760,4";"150282,00000000003";"421181,63999999996";"178066,1";"1540345,5";"11800";"53469,9";"508760,4";"210394,8";"589654,3";"178066,1";"1";"1";"1,4";"1,4";"1";"1,1";"0"
"372";"Privado";"2";"242";"Hemostasia";"115114,9956";"658874,6799999999";"147069,45";"463363,45";"230606,12";"1737115,28";"0";"115115";"658874,68";"176483,34";"556036,14";"230606,12";"1";"1";"1,2";"1,2";"1";"0,4897947635912187";"1"
"1787";"Privado";"2";"270";"Inmunología";"51001,5";"104744,79";"30971,160000000003";"200801,25450000004";"36660,68";"447356,63";"3750";"51001,5";"104744,79";"34068,28";"220881,38";"36660,68";"1";"1";"1,1";"1,1";"1";"1,0698371418370247";"1"
"1787";"Privado";"2";"270";"Inmunología";"51001,5";"104744,79";"30971,160000000003";"200801,25450000004";"36660,68";"447356,63";"3750";"51001,5";"104744,79";"34068,28";"220881,38";"36660,68";"1";"1";"1,1";"1,1";"1";"1,13402733786098";"1"
