A-Equipo,PC-CostoTotal,PC-TotalDeterminaciones,PC-UtilidadPropuesta,PC-ValorFinal,PC-ValorDeterminacion
423,7639815.54,5509,1.7999999986001198,13751667.961305173,2496.218544437316
376,1918254.16,3400,1.5,2877381.2399999998,846.2886
384,762934.95,360,1.66,1266472.0169999998,3517.9778249999995
384,1105852.5,250,1.66,1835715.15,7342.8606
355,6908280.83,1499,1.4894408043052076,10289475.355801448,6864.226388126383
411,9467110.2,2950,1.310731928718038,12408843.611832209,4206.387665027867
303,4091746.78,1600,1.7999999990224227,7365144.200000001,4603.215125000001
296,3716568.86,19618,1.7499999986546733,6503995.5,331.5320369048833
98,11039165.19,8700,1.299999997554163,14350914.72,1649.530427586207
331,2183363.21,150,1.270974974429472,2775000,18500
333,1252740.465,3000,1.66,2079549.1719,693.1830573
336,7243306.71,3856,2.449079838429439,17739436.42702167,4600.476251820973
247,6892799.99,5000,1.9157463696974117,13204856.557892857,2640.971311578571
408,26013789.98935,49100,2.0000000007779417,52027579.99893721,1059.6248472288637
411,148249461.22,92400,1.66,246094105.62519997,2663.3561214848482
341,2264813.77,200,1.5259532795934916,3456000,17280
336,10242847.17,1910,1.4999999985355634,15364270.74,8044.120806282723
353,2363599.08,200,1.5,3545398.62,17726.9931
343,20532777.34,15400,1.4500000008279448,29772527.160000004,1933.2809844155847
247,6921035.66,15000,1.500000001892036,10381553.50309485,692.10356687299
216,28735342.35,75000,1.3038647510667294,37467000,499.56
245,13591909.64,18000,1.8368279852690368,24966000,1387
234,39547603.49,35350,1.1846572197945338,46850354,1325.328260254597
333,7707128.88,7000,1.3623750379012736,10500000,1500
341,9586038.26,1300,2.0000000018188855,19172076.537435904,14747.751182643004
336,17242363.16,6650,1.7698763050528394,30516850,4589
296,25303517.22,67665,1.5000000009838645,37955275.854895234,560.9292227132969
247,6105402.9,4500,1.6,9768644.64,2170.80992
111,785077.3,4000,1.9999999830353985,1570154.5866814766,392.53864667036913
423,22954284.68,19000,1.5702079373183064,36043000,1897
247,2987873.97,2500,1.4893533143233615,4450000,1780
386,21806030.25,3000,1.3585691508430335,29625000.000000004,9875.000000000002
270,23856358.49,13900,1.4000000005868458,33398901.900000002,2402.7986978417266
423,45427812.08,30200,1.7387806364281324,78989000,2615.5298013245033
336,23513411.68,11500,1.66,39032263.388799995,3394.109859895652
341,5916893.06,860,1.4214892705868847,8410800,9780
386,23780765.25,3000,1.4999999993938762,35671147.86058591,11890.382620195305
234,21337991.75,12007,1.635819813268041,34905109.68,2907.0633530440577
333,5573449.85,5000,0.7760005232665725,4325000,865
423,28388709.55,30600,1.7106166771853142,48562200,1587
275,22739558.38,2996,1.4500000012753107,32972359.68,11005.460507343125
423,20541334.83,18200,1.5,30812002.244999997,1692.9671563186812
246,19080947.57,22500,1.4999999992138753,28621421.339999996,1272.0631706666666
98,17072506.93,73440,1.5999999983599362,27316011.06,371.95004166666666
246,27336357.12,40000,1.5,41004535.68,1025.113392
408,13306967.19,38370,1.41176689111533,18786335.7,489.60999999999996
336,39776451.07,19600,1.4718557947004898,58545200,2987
411,28165268.25,12400,1.6599999998065638,46754345.28955182,3770.51171689934
111,1115065.13,7000,1.5,1672597.6949999998,238.94252785714284
343,26254194.37,25200,1.4004162337585375,36766800,1459
297,28006988.34,113420,1.660000000557004,46491600.660000004,409.90654787515433
408,12118196.96,23600,1.6600000005281312,20116206.96,852.3816508474576
423,39620289.41207868,25200,1.7400000006726501,68939303.6036675,2735.6866509391866
343,48544758.6,45000,1.554544757793893,75465000,1677
245,13049094.06,14000,1.9193669602531778,25046000,1789
387,39631237.86,20000,1.500000000374944,59446856.8048595,2972.342840242975
111,626733.75,5000,1.500000039889347,940100.65,188.02013
386,3632189.86,400,1.5000000082594802,5448284.82,13620.71205
331,4330207.15,600,1.3687105015287777,5926800,9878
384,1647074.7,400,1.660000010928466,2734144.02,6835.36005
247,3040808.35,4000,1.5000000049328988,4561212.54,1140.303135
296,23111545.14,76375,1.6441994583145396,37999990.00000003,497.54487725040957
246,15327353.79,15000,1.4500000002935929,22224663,1481.6442
331,2064281.06,144,1.4999999999999998,3096421.59,21502.927708333333
423,20016596.92,20200,1.2574165379156768,25169200,1246
353,1864494.04,330,1.5999999978546458,2983190.46,9039.97109090909
247,2803733.05,2500,1.2483356787480178,3500000,1400
246,12019070.4,13200,1.5,18028605.6,1365.8034545454548
245,8477795.19,15000,1.606549780309095,13620000,908
353,10776489.41,2160,3.385369633096498,36482400,16890
386,31642747.23,4500,1.5999999984830646,50628395.519999996,11250.75456
333,6464987.53,14000,1.3999999995055368,9050982.538803302,646.4987527716644
408,11780844.47,32750,1.44,16964416.0368,517.997436238168
408,11938673.33,35000,1.4209632453357361,16964416,484.6976
245,9275093.4,9500,1.4083416130343227,13062500.000000002,1375.0000000000002
247,5922871.26,15000,1.152312738264718,6825000,455
423,24961122.06,21300,1.2637773223564774,31545300,1481
216,34670815.81,125000,1.9999999994231457,69341631.6,554.7330528
247,1819373.33,1500,1.5,2729059.995,1819.3733300000001
408,10234763.65,16150,1.3999999990229377,14328669.1,887.2240928792569
111,1290743.1,8000,1.3993192095486462,1806161.6144223693,225.77020180279615
343,26728388.3,23300,1.492720008112124,39898000,1712.3605150214592
247,2573171.02,6000,1.3499999993739698,3473780.8753891173,578.9634792315195
111,1544067.45,16000,1.4000000194292028,2161694.4599999995,135.10590374999998
275,8977147.36,2592,1.66,14902064.617599998,5749.253324691357
408,15467967.99,60300,1.4969774966543619,23155200,384
